Date,BAC,BP,EBAY,GM,HMC,HP,PYPL,RYAAY,SHEL,X
05/02/2024,32.17132568,32.43077469,40.54280472,37.40135193,33.86000061,35.61470413,61.54000092,53.32271194,60.49260712,45.28262329
06/02/2024,32.22008514,34.4671669,41.84746552,37.63888168,34.41999817,36.94797897,63.70999908,53.98376846,61.13614655,45.3721962
07/02/2024,32.35660934,34.25879288,41.53356552,38.32178497,34.93000031,37.25491714,63.24000168,54.8012886,61.04970551,45.84989929
08/02/2024,32.29809952,34.29668045,41.2196579,38.25250626,35.15999985,36.62185287,56.13000107,54.36710358,61.04970551,46.13851547
09/02/2024,32.24933624,34.43874741,41.62184906,38.16342926,34.36000061,36.50675201,58.90999985,54.71132278,61.22259521,46.11858368
12/02/2024,32.78569031,34.50505447,42.66166306,38.87602234,34.47999954,36.55524063,60.09000015,54.21455002,61.61639404,45.54073334
13/02/2024,31.93728065,34.13566208,40.34661102,37.91600037,34.06000137,35.37197495,58.25999832,53.76862717,60.9152298,45.43114471
14/02/2024,32.30784988,33.8704567,41.37661362,37.97538376,33.83000183,35.81812668,58.86999893,54.25366592,60.92483521,45.47099304
15/02/2024,33.22452545,34.14468765,41.80822754,38.58900452,34.81999969,37.81610489,59.70000076,55.01642609,61.73856354,45.61047363
16/02/2024,33.24402618,33.99127579,42.62242508,38.30198669,34.74000168,38.45623398,59.13999939,54.4961853,61.72885132,45.82966232
20/02/2024,33.11724854,33.92415237,42.759758,38.60879898,34.63000107,37.7191124,58.63000107,54.12067413,61.77740479,45.61047363
21/02/2024,32.86370468,34.23098373,42.96575546,39.08386612,34.93999863,37.66091919,57.47999954,54.2849617,62.51538849,45.99903107
22/02/2024,32.77593613,34.02962875,43.43661118,38.93540955,35.74000168,37.6027298,58.34999847,55.50146103,62.2726326,46.34773636
23/02/2024,33.07824326,33.92415237,43.17174911,39.22242355,35.81999969,36.67163467,59.15999985,55.23547363,62.07843018,47.08499527
26/02/2024,32.77593613,33.86662292,43.04423523,39.38077927,35.65999985,36.84621048,59.33000183,54.63700485,61.54435349,47.4735527
27/02/2024,33.42930984,33.96250153,43.54451752,39.76676941,35.25,37.42814636,60.15999985,55.08683395,61.56377792,47.20455551
28/02/2024,33.45856857,33.52143097,46.97785187,40.21213913,35.36999893,37.34085846,60.25,53.92118073,60.76752853,47.33406448
29/02/2024,33.90048981,33.55020142,46.37947083,40.67868423,35.59000015,37.23416519,60.34000015,54.07764435,61.01028824,47.16469955
01/03/2024,33.73353958,34.17345047,47.13480759,40.68861008,36.06999969,37.81610489,60.54000092,53.25230026,61.71914673,47.22447968
04/03/2024,34.51918411,34.2022171,47.97842789,40.62904739,35.97999954,37.30205917,59.97999954,54.05417633,61.02970886,47.51340103
05/03/2024,34.75487518,34.32686996,49.135952,40.35111237,35.77999878,36.98199463,58.27000046,53.80383682,61.04912186,47.58314133
06/03/2024,34.78433609,34.92135239,49.57738113,39.85478592,36.24000168,37.3602562,58.11999893,54.64873886,62.00074387,47.02521896
07/03/2024,34.99057007,34.93094635,49.81280899,39.06066513,35.43999863,38.4465332,58.5,55.49755096,62.38916016,47.39384842
08/03/2024,34.96110535,34.91176987,49.67474365,39.20956802,35.52000046,38.00038147,59.00999832,55.42323303,62.45713043,47.264328
11/03/2024,35.24590302,34.98847961,50.83845139,39.23934174,34.68000031,38.54352188,60.08000183,55.30197144,62.4280014,46.92558289
12/03/2024,35.31464767,35.14189529,50.20728683,38.92169571,35.20000076,38.05857849,60.02999878,54.28104782,62.64163208,46.66654968
13/03/2024,35.43249512,35.78432083,51.68658447,39.96397781,35.15999985,39.05756378,62.45000076,54.30451965,63.80687714,40.70869446
14/03/2024,35.04949188,35.94733047,51.52879333,39.09044647,35.24000168,38.90238571,63,53.27577209,63.8748436,38.11832428
15/03/2024,34.77451706,35.94733047,51.47948074,40.39081192,36.06000137,38.92177963,62.84999847,55.52884674,63.95252991,38.70613861
18/03/2024,35.36374664,36.23498535,50.64121246,40.51985931,36.43000031,38.98967361,64.23000336,56.24857712,64.22441864,38.72606277
19/03/2024,35.38338852,36.28292465,51.10472488,41.20478439,36.84999847,40.11474991,63.00999832,55.9043541,64.54486084,39.60280609
20/03/2024,36.09047318,36.33086777,51.25265884,42.53493118,37.08000183,40.10504913,65.05000305,57.11303711,64.991539,39.54302597
21/03/2024,36.83683014,36.17745209,51.28224182,43.10073853,37.43999863,40.31842422,66.13999939,57.14823914,64.91385651,39.90169144
22/03/2024,36.38508606,36.24456787,50.71024323,42.74338913,37.68000031,40.03715515,64.76999664,56.99568939,64.98182678,39.51314163
25/03/2024,36.19849777,36.68564224,50.52286911,43.22978592,37.27999878,40.85186386,66,56.99177551,65.46734619,40.10095596
26/03/2024,36.42436981,36.02403259,50.37494278,43.67647552,37.27999878,40.10504913,66.66999817,57.37511063,64.82646179,40.5393219
27/03/2024,37.13145065,35.91856003,51.20334625,44.26214218,37.31999969,40.95855331,66.56999969,57.11694717,64.82646179,40.86809921
28/03/2024,37.23947144,36.12950897,52.05147552,45.01655197,37.22999954,40.79367828,66.98999786,56.94874954,65.09835052,40.62899017
01/04/2024,36.84664917,36.37880707,51.54851532,45.066185,36.83000183,40.95855331,65.02999878,57.30469894,65.9528656,41.67510605
02/04/2024,36.63059998,37.0595932,51.14417648,44.55993271,36.34000015,41.38530731,64.66000366,55.81438828,67.73957825,41.24669647
03/04/2024,36.76808548,37.21301651,51.13431168,44.83787537,36.41999817,42.06422806,65.33999634,57.19517899,68.06001282,41.72491837
04/04/2024,36.25741959,36.81988525,50.69052505,43.3588295,36.20000076,41.71506882,64.54000092,56.39330292,68.21538544,40.9478035
05/04/2024,36.44401169,37.06918335,51.34141541,43.90478516,36.70000076,42.56857681,65.15000153,57.0074234,69.2252655,41.06736374
08/04/2024,36.82700729,37.30889511,50.86804199,44.01397705,37.00999832,41.95754242,66.33999634,58.11831284,69.73991394,40.39984131
09/04/2024,37.05288315,37.67326355,51.24279404,44.4011116,37.04000092,41.79265976,67,57.92273331,69.75933075,41.77473068
10/04/2024,35.99226761,37.79790878,51.73589325,43.61691666,36.58000183,41.70537567,65.87999725,57.05436325,70.54587555,42.45221329
11/04/2024,35.69764709,38.01844406,51.17375946,43.5176506,36.65000153,41.14283371,65.80000305,56.96439362,70.55558777,42.07361984
12/04/2024,35.14770126,37.81708908,50.60176849,42.76324463,36.09999847,40.53180313,64.58999634,54.49227524,70.34195709,41.17695618
15/04/2024,35.30482864,37.46231461,50.18756485,42.37611008,35.86000061,40.37661743,63.50999832,54.02288437,69.85643768,40.66884232
16/04/2024,34.057621,37.04042053,49.5564003,42.34632874,35.13000107,39.95956802,63.43000031,53.12321854,69.00192261,40.15076828
17/04/2024,34.5977478,36.79111481,48.7674408,42.14780045,34.70999908,39.62010193,63.25999832,53.33444595,69.0796051,38.98509979
18/04/2024,35.12805939,36.3596344,49.26054001,42.12794876,34.45000076,39.9304657,62.09999847,52.96284485,68.97279358,38.79580307
19/04/2024,36.30652237,36.93494415,49.69446945,42.05846024,34.13999939,40.69668198,62.31000137,54.32407761,69.98266602,38.44710159
22/04/2024,37.05288315,37.30889511,50.23686981,42.89228821,34.54999924,39.98865891,63.18999863,55.067276,70.29340363,38.69617462
23/04/2024,37.68139648,37.67326355,50.54259491,44.76838684,34.58000183,41.04584503,64.43000031,55.75962448,70.66239929,37.79950714
24/04/2024,37.6322937,37.72120285,50.47356033,44.74853897,34.40999985,41.15253067,64.83999634,54.11676025,71.01197052,36.46446991
25/04/2024,37.2296524,37.98968124,50.63135147,45.28456497,33.65000153,39.22244263,64.09999847,54.7621727,71.14791107,37.03236008
26/04/2024,37.15109253,37.8458519,51.30196762,45.50294876,33.84999847,39.17395401,65.95999908,54.72697067,71.14791107,37.28142929
29/04/2024,36.87611389,37.8458519,52.02188873,45.70147705,34.09999847,39.59100342,66.98999786,54.70741272,71.00226593,36.82313538
30/04/2024,36.34580612,37.17465973,50.82859421,44.20258331,33.99000168,38.14586639,67.91999817,53.27577209,69.58454895,36.36484146
01/05/2024,36.28688431,36.64728928,50.35522079,44.14302444,33.81999969,37.05958557,66.13999939,53.42832184,68.89511108,36.84306335
02/05/2024,36.21813583,37.07876968,48.70826721,44.34155273,34.36000061,36.69103241,66.98000336,54.68002701,70.02151489,36.91280365
03/05/2024,36.58149719,37.10753632,48.96467972,44.53015518,34.59000015,37.31175995,65.69999695,54.87952042,70.27397919,36.33495331
06/05/2024,37.0135994,37.43354416,48.69840622,44.72868347,34.95999908,37.29236221,65.61000061,55.28632736,70.67210388,37.8991394
07/05/2024,37.16090775,36.03362656,49.37887955,44.94706345,34.33000183,37.42814636,65.91999817,50.13085938,70.85660553,37.98880386
08/05/2024,37.03324509,35.98568344,49.00412369,44.71875763,33.88000107,37.28266144,63.81000137,51.47644424,70.52645111,38.20798874
09/05/2024,37.59300995,36.4746933,49.64515305,45.02647781,33.93999863,38.09737015,64.44999695,50.92099762,71.41980743,38.07846832
10/05/2024,37.75996017,36.28292465,50.2960434,44.87758255,33.77999878,37.58333206,62.93000031,50.59633636,71.94416809,37.92883301
13/05/2024,37.5242691,36.53222656,51.27238464,44.83787537,33.79000092,37.56393433,63.95000076,50.28731918,72.02185059,37.87894821
14/05/2024,37.79924393,36.39798737,51.38085938,44.69890594,33.52000046,37.85489655,64.58000183,50.30296707,71.91503143,37.90887833
15/05/2024,38.21170425,36.2062149,51.69644547,45.15552521,33.84000015,37.34085846,63.90000153,50.15432358,71.17704773,38.13832474
16/05/2024,38.5161438,35.99862671,51.97257996,45.53272629,32.81999969,37.46833038,64.09999847,49.45024109,70.32227325,37.26043701
17/05/2024,38.58488846,36.36724854,50.76941681,45.42353439,33.24000168,37.74289703,64.48000336,49.12558365,70.49871826,35.82388687
20/05/2024,38.12332153,36.14413452,50.53273392,44.7783165,33.86000061,37.98804474,64.76999664,47.98339844,70.17523956,36.66187286
21/05/2024,38.93842697,35.95012665,51.44989777,44.58971405,33.38000107,38.10571671,64.09999847,47.63135529,69.98899841,36.07328796
22/05/2024,39.04645157,35.46509933,52.07119751,43.64670181,33.08000183,36.7230835,62.18999863,48.26503372,69.09697723,36.13314819
23/05/2024,38.4670372,35.32928848,52.08106232,43.40846252,32.70999908,36.379879,61.58000183,49.95092392,68.97935486,35.84384155
24/05/2024,38.98752975,35.62030792,53.65897751,43.78567123,33.24000168,36.4289093,61.63999939,47.97166443,69.42046356,35.82388687
28/05/2024,38.61434937,36.27994156,52.16982269,42.77317047,33.22999954,36.90939713,62.16999817,47.89343262,70.32227325,36.73170471
29/05/2024,38.02511597,36.00832367,51.37099838,42.32647324,32.79000092,35.89938736,61.04999924,46.96638489,70.03800201,37.03098679
30/05/2024,37.93672943,35.82402039,52.6136055,43.0908165,33.31000137,36.21318054,62.50999832,47.05244064,70.03800201,38.02859116
31/05/2024,39.27232742,36.44485092,53.74359512,44.65919876,33.91999817,37.3212471,62.99000168,47.58050537,71.34172058,38.25803757
03/06/2024,39.16429901,35.30989075,53.13895035,45.40368652,33.59999847,35.41889954,63.45999908,48.24938583,69.41065216,38.63712692
04/06/2024,38.96788788,34.49504852,53.27772141,44.92721176,32.70999908,34.22258377,63.33000183,48.99649811,68.70487976,37.99866104
05/06/2024,39.2428627,34.27193451,52.54421997,45.28456497,32.40000153,34.61481476,63.52999878,48.88697433,68.43041992,38.27799225
06/06/2024,38.98752975,34.38834381,52.92088318,45.27464294,32.36000061,34.63442993,67.01999664,48.35891342,68.86172485,38.22811127
07/06/2024,39.30369568,34.20402908,52.61360931,45.5035553,32.20000076,34.01665497,67.30000305,47.55312347,68.07752991,38.17823029
10/06/2024,39.19501114,34.84426117,52.68299484,47.34479523,32.75,34.85996246,67.08999634,46.78253937,69.24401855,37.95875549
11/06/2024,38.39471436,34.60174942,52.53430939,47.98176575,32.31000137,34.86977005,64.76999664,46.09019089,68.90093231,37.15069962
12/06/2024,38.93812561,34.49504852,52.72264099,48.62868881,32.70999908,34.5461731,63.43000031,47.2049942,69.01856232,37.15069962
13/06/2024,38.78992081,34.13612747,53.21824646,47.42441559,31.95999908,33.49694443,61.54000092,46.34053421,68.38140869,36.6718483
14/06/2024,38.77016449,33.84511185,51.67195511,46.54858017,32.04000092,32.08489609,60.63499832,45.94937515,67.63642883,36.37257004
17/06/2024,39.03692627,34.05852127,52.67308044,47.17560196,31.64999962,32.34965515,60.13000107,46.31706238,67.78346252,36.78158569
18/06/2024,39.51118469,34.33013535,54.07069016,47.21540833,31.80999947,32.70266724,59.11999893,46.05107498,68.15595245,36.9811058
20/06/2024,39.51118469,34.64055252,53.36693192,47.54384613,31.54999924,33.18315506,59.79999924,44.06399155,68.64606476,36.93122864
21/06/2024,39.01716995,34.44654083,53.67420578,47.4940834,31.37000084,33.32043839,60.61000061,44.68593597,68.5578537,36.56211472
24/06/2024,39.54082489,35.16437912,53.53543472,47.88223648,31.81999969,34.06568909,59.49000168,45.35090256,70.00859833,36.18302536
25/06/2024,38.90848923,34.99947739,53.47596741,46.19028473,32.40999985,34.40889359,59.33000183,46.3014183,70.1360321,35.12556839
26/06/2024,38.53303528,34.6502533,53.21824646,45.55331421,32.04000092,34.51675797,58.25999832,44.8150177,69.45966339,37.0908432
27/06/2024,38.78004074,34.89276886,52.58387375,45.36421585,32.11999893,34.899189,58.36999893,45.63644791,70.0282135,36.71175766
28/06/2024,39.29381561,35.01887512,53.24798584,46.24004745,32.24000168,35.43851089,58.02999878,45.54648209,70.75358582,37.7093544
01/07/2024,39.53094101,35.33899307,52.21712494,46.45900726,32.86000061,35.04627991,57.81000137,44.59988022,71.4299469,38.098423
02/07/2024,40.43992615,35.65910721,52.78211212,46.7277298,32.40000153,34.99724197,58.97000122,44.38474274,71.59658813,38.24806213
03/07/2024,40.41028976,35.86281967,52.14773941,46.48886108,32.47999954,35.3404541,59.63999939,46.09801483,71.56718445,39.09602356
05/07/2024,39.92615128,35.94042206,52.40545273,46.29976273,32.45000076,34.66384506,59.75999832,46.40311813,71.80243683,38.60720062
08/07/2024,40.13364029,35.45539474,52.32615662,46.32962418,31.81999969,34.899189,59.09000015,46.5674057,71.28291321,39.10599899
09/07/2024,40.92406082,33.75780487,52.18738937,46.04099274,31.63999939,34.98744202,59,46.57522964,71.14568329,38.69698334
10/07/2024,41.24023056,33.85481262,52.51448441,46.30971527,32.06000137,35.61501694,58.90000153,46.64563751,71.4887619,38.08844757
11/07/2024,41.30939102,34.00031662,53.54534912,47.70308685,32.18000031,36.4681282,59.99000168,47.50618744,71.52796936,38.63712692
12/07/2024,41.09202576,34.13612747,53.71385574,48.77797318,32.59000015,36.87017059,60.27000046,46.73560333,71.63579559,39.20575714
15/07/2024,41.38843155,33.98091507,53.24798584,49.0666008,32.49000168,38.8999939,60.47000122,46.37182617,71.51816559,38.46753693
16/07/2024,43.60161591,33.84511185,54.93304443,49.53437805,32.56000137,40.10611725,61.81000137,47.1111145,71.24369812,38.10840225
17/07/2024,43.45340729,34.35923386,54.10042953,49.66376495,32.54000092,40.37087631,61.24000168,47.00550079,71.83184052,38.04854202
18/07/2024,42.49502182,34.52414703,53.91209793,49.41494751,31.85000038,38.46853256,60,45.30005264,71.80243683,37.74925995
19/07/2024,42.38634109,34.32043839,53.12903595,48.07133484,31.43000031,37.46833038,59.33000183,44.71722794,70.82219696,38.08844757
22/07/2024,41.79352188,34.27193451,53.43631363,49.3253746,32.33000183,37.04667664,60.77000046,37.82501221,70.7829895,38.00863647
23/07/2024,41.90220642,33.9033165,52.77220154,46.16042709,32.18999863,37.00745392,59.70999908,37.21871948,69.90077209,39.3853302
24/07/2024,41.68484116,33.61230087,53.18851089,46.26990891,31.17000008,37.01726151,58.06999969,37.16786957,69.77334595,39.4950676
25/07/2024,41.18094635,34.1264267,52.65325546,43.92107773,30.87000084,40.26301575,57.22000122,38.23181915,70.6653595,40.5325737
26/07/2024,41.17106628,34.19433212,53.70394516,43.91112518,31.28000069,39.31184387,58.29000092,40.06244278,70.62615967,40.65228653
29/07/2024,40.59801102,33.91301346,54.1301651,43.94098663,31.48999977,38.41950226,58.93999863,38.99457932,70.42030334,40.82187653
30/07/2024,40.78573608,33.76750565,54.91322327,44.02060699,31.62999916,38.60581589,64,39.83165741,70.54772949,40.13352966
31/07/2024,39.82735062,34.33013535,55.12137985,44.1101799,32.29999924,39.6354332,65.77999878,39.62434387,71.77303314,40.99146652
01/08/2024,39.02705002,33.71900177,55.7359314,43.16467667,30.97999954,37.77231598,65.30999756,39.1158371,71.49856567,40.5625
